CPL,ELO,Cheat
198.0,2900,0
176.6,2400,0
85.6,2300,1
108.8,1200,1
66.0,800,1
390.2,1400,0
64.2,2400,1
21.4,3200,0
396.2,2300,0
357.9,1700,0
66.0,2500,1
219.2,2500,0
44.6,2200,1
64.2,2000,1
0.0,3200,1
87.4,1700,1
21.4,2700,1
475.5,700,0
44.6,3000,1
132.0,2700,0
42.8,700,1
42.8,900,1
0.0,1500,1
108.8,1400,1
108.8,1600,1
419.5,1600,0
42.8,1900,1
408.7,1800,0
384.3,1300,0
438.2,800,0
108.8,1100,1
151.6,2800,0
87.4,1000,1
66.0,3100,1
380.1,1900,0
0.0,1800,1
397.3,1100,0
42.8,3100,0
64.2,2900,1
89.2,1300,1
387.5,900,0
482.5,500,0
422.2,600,0
354.7,1500,0
415.7,2200,0
87.4,2800,1
85.6,2100,1
87.4,500,1
416.2,1200,0
66.0,3000,0
87.4,600,1
380.4,1000,0
66.0,2600,1
400.0,2000,0
283.3,2100,0
378.1,2600,0
