CPL,ELO,Cheat
155,1700,1
6,2600,0
41,1600,0
0,500,0
21,1200,0
0,700,1
0,1000,0
38,600,1
109,600,1
0,600,0
0,2500,1
0,1500,0
0,2800,0
0,2300,1
173,900,1
88,900,0
0,1300,0
0,800,0
0,1300,0
0,2000,1
0,1000,0
0,2400,1
0,2100,0
47,900,1
26,600,0
0,2600,0
9,800,1
27,2800,0
0,600,1
0,1400,1
0,1900,1
0,800,1
0,800,1
109,500,0
109,1700,0
0,2500,1
0,1500,0
0,2400,0
148,1500,1
41,2000,0
67,1300,1
41,2200,0
16,2800,1
0,2400,0
0,1400,1
0,1800,1
0,1000,0
0,2000,1
172,1600,0
0,1000,0
0,2300,1
0,2700,1
0,1800,0
0,1100,0
6,2000,0
270,500,1
0,900,1
140,2100,0
57,2000,1
67,2200,1
0,900,0
270,2000,1
120,500,1
9,1200,0
0,2300,0
0,2500,0
200,1600,0
0,1400,0
156,2300,1
0,1500,0
0,1100,1
6,2800,0
109,2700,0
0,1400,1
0,600,1
0,1600,0
67,900,0
121,1200,1
58,2100,0
155,1400,0
0,1400,1
41,500,1
200,600,1
0,2400,1
0,2400,0
0,1500,1
16,1000,0
155,1300,0
0,1300,0
0,2200,1
88,1300,0
0,700,0
0,1200,0
47,500,0
0,2600,0
78,1500,1
27,1800,0
0,2800,1
0,1100,1
0,2600,0
260,700,1
0,1500,1
98,1000,0
172,800,0
82,700,1
0,600,1
0,1900,0
10,2100,0
0,1200,1
35,2200,0
41,2500,0
155,1200,1
0,1200,1
0,800,0
0,1600,1
0,2300,1
0,2200,0
21,1000,0
0,2100,1
41,800,1
0,700,0
27,2400,1
0,1700,1
268,1300,0
0,2000,0
268,900,1
41,1900,0
0,1100,0
0,500,1
0,2700,1
0,800,0
0,1400,0
0,2400,1
121,800,1
0,1800,0
41,1100,0
0,1900,0
0,2700,1
0,1600,0
0,2600,1
0,2300,0
0,1800,0
0,2800,1
0,1000,1
67,1200,0
0,2100,1
0,2800,1
0,1700,1
0,1200,1
0,2600,0
0,2700,0
26,1000,1
38,1100,1
0,2800,1
0,1900,0
0,600,1
0,700,0
0,2200,1
19,2400,1
0,1900,0
0,2600,1
0,2000,0
0,1100,1
172,1800,0
0,2700,1
0,1400,0
21,1600,1
0,2200,1
0,2000,1
0,2000,0
0,600,0
16,1700,1
16,700,0
9,2700,0
120,2400,1
0,1300,1
109,2600,1
31,1400,0
187,2300,0
41,2100,0
0,900,1
140,2200,1
0,1800,0
27,700,1
0,2500,0
26,2600,1
0,1100,1
0,2800,0
26,1500,1
0,2500,0
0,1700,0
67,2300,1
0,2700,1
0,1000,1
0,1600,1
0,1300,0
88,700,0
0,1500,1
0,500,1
0,2800,1
0,2100,0
0,1900,0
0,2600,0
0,800,0
0,900,0
0,1800,1
120,1800,0
0,1900,0
0,1300,1
156,2100,0
38,2300,0
0,2500,0
173,500,0
9,1600,1
57,2500,0
67,1700,1
0,1800,1
0,2500,1
121,1100,1
270,900,1
0,1700,0
67,2700,1
0,2100,0
0,2300,0
0,2500,1
58,2200,0
402,700,1
0,500,1
26,1900,1
0,2200,1
52,1700,1
0,1900,1
99,1400,0
41,2400,0
41,2700,1
0,1500,1
0,1100,0
0,1600,0
0,1700,0
0,1200,1
